tax_id	scientificName	Order	Diet	Massg	high_hfp_extent_suitable	high_hfp_extent_unsuitable	GISfrag_suitable	Percentage_change_suitable	Percentage_change_unsuitable	mean_distance_unsuitable	proportion_suitable	proportion_unsuitable	trans9617
5634	Crocidura macmillani	Eulipotyphla	carnivore	13.1	100	99.25841697	500.3711005	0	0.044827414	4848.872247	9.069042604	90.9309574	0
5636	Crocidura picea	Eulipotyphla	carnivore	12.5	100	100	460.1628049	0	0	1556.609137	23.43723142	76.56276858	1
5639	Crocidura xantippe	Eulipotyphla	carnivore	15	95.28204162	96.98610359	887.1801369	0.46451868	0.372162263	1644.554601	38.63825515	61.36174485	0
5674	Crocuta crocuta	Carnivora	carnivore	62999.9	90.37879814	87.69163299	15179.37281	1.905825913	2.300309985	3837.567723	95.27403966	4.725960338	0
5679	Crossomys moncktoni	Rodentia	carnivore	165	71.18001338	64.60724835	517.4803975	13.8462342	15.52276398	1769.430402	19.30203804	80.69796196	0
5706	Crunomys melanius	Rodentia	carnivore	42.5	97.80289561	98.76690899	786.4669317	0.865688439	0	541.7342783	68.41268061	31.58731939	1
5748	Cryptochloris wintoni	Afrosoricida	carnivore	24.9	100	100	374.722735	0	0	304.7793873	70.45454545	29.54545455	1
5749	Cryptochloris zyli	Afrosoricida	carnivore	24.9	100	100	1503.132503	0	0	363.7835944	88.46597463	11.53402537	1
5751	Fukomys zechi	Rodentia	herbivore	223.1	99.97686256	94.77543538	2733.601179	0.013885675	1.063829787	402.5173497	95.29928258	4.700717422	0
5752	Fukomys bocagei	Rodentia	herbivore	94	86.55838395	78.8637842	905.4628807	3.992935648	5.307663296	2525.218001	50.42802255	49.57197745	0
5753	Fukomys damarensis	Rodentia	herbivore	153.3	64.17094773	73.77090737	6262.788422	1.744285029	1.570585382	777.1937802	79.99672034	20.00327966	0
5756	Fukomys mechowii	Rodentia			89.79537471	78.07094314	1129.564119	3.25415062	10.57975429	1302.520568	57.16235836	42.83764164	0
5757	Fukomys ochraceocinereus	Rodentia	herbivore	200	77.61149832	71.57132767	2071.743375	7.017371593	17.39932344	4476.50383	58.22293458	41.77706542	0
5760	Cryptoprocta ferox	Carnivora	carnivore	9500	97.22000073	97.94735004	833.6185613	2.207016461	1.453565215	3541.456661	24.91922213	75.08077787	1
5763	Cryptotis endersi	Eulipotyphla	carnivore	8	66.27565982	75.35545024	644.5297449	14.60176991	13.20754717	1255.533668	36.10521458	63.89478542	1
5764	Cryptotis gracilis	Eulipotyphla	carnivore	7	64.09876543	82.15919488	1333.326819	1.964560863	4.850284583	2533.729473	29.13678154	70.86321846	1
5766	Cryptotis magna	Eulipotyphla	carnivore	7	82.02840495	82.03658805	917.2174997	1.731409545	1.464266523	5768.092639	37.63307244	62.36692756	1
5792	Ctenodactylus gundi	Rodentia	herbivore	289	81.69481431	74.30110082	6429.840264	3.922793862	3.223193349	13488.71436	52.79359003	47.20640997	0
5795	Ctenomys argentinus	Rodentia	herbivore	184	99.34715195	96.48310092	435.8330859	0.049285362	0.34295233	1108.241221	22.62290645	77.37709355	1
5796	Ctenomys australis	Rodentia	herbivore	361.5	96.00907029	97.69503546	789.2694961	0	0	539.9611032	66.232	33.768	1
5797	Ctenomys azarae	Rodentia	herbivore	128	59.28451937	76.14678899	5010.885393	0.564358585	0	369.2607821	98.63628576	1.363714237	1
5798	Ctenomys boliviensis	Rodentia	herbivore	535	74.01880141	56.80152611	762.9773276	5.270677885	2.264140382	12641.69821	6.349832816	93.65016718	0
